No,Question,A,B,C,D,Correct
19,"Alur pengawasan transaksi efek di Direktorat Pengawasan Transaksi Efek dapat berlaku sebagai berikut, kecuali",Reviu Alert – Penelaahan Pemeriksaan Teknis – Pelimpahan ke Direktorat Pemeriksaan Khusus Pasar Modal,Reviu Alert – Penelaahan – Pelimpahan ke Direktorat Pemeriksaan Khusus Pasar Modal,Reviu Alert – Penelaahan – Tutup,Reviu Alert – Pemeriksaan Teknis – Penelaahan – Tutup,D
20,Emiten dan Perusahaan Publik menyajikan informasi analisis dan pembahasan oleh manjemen pada,Laporan realisasi penggunaan dana,Laporan keuangan tahunan,Laporan keuangan tengah tahunan,Laporan tahunan,D
21,Alur pengawasan transaksi efek yang berlaku di Direktorat Pengawasan Transaksi Efek,Reviu Alert – Pemeriksaan Teknis – Penelaahan,Pemeriksaan Teknis – Penelaahan – Reviu Alert,Pemeriksaan Teknis – Reviu Alert – Penelaahan,Reviu Alert – Penelaahan – Pemeriksaan Teknis,D
22,Persyaratan Wajib yang harus di penuhi oleh Wakil Manajer Investasi,Persyaratan Integritas dan Kelayakan Keuangan,Persyaratan Integritas dan Reputasi Keuangan,Persyaratan Kompetensi dan Kelayakan Keuangan,Persyaratan Integritas dan Kompetensi,D
23,Apakah tindak lanjut yang dilakukan untuk Manajer Investasi yang memiliki profil risiko sangat rendah?,Melakukan pengawasan secara off-site,Dikenakan teguran,Mengundang Manajer Investasi untuk diminta keterangan,Melakukan pengawasan secara on-site (pemeriksaan kepatuhan),A
24,"Laporan keuangan berkala yang dimaksud dalam POJK Nomor 14/POJK.04/2022 tentang Penyampaian Laporan Keuangan Berkala Emiten atau Perusahaan Publik, terdiri atas",Laporan tahunan dan laporan keuangan triwulanan,"Laporan keuangan tahunan, laporan keuangan tengah tahunan, dan laporan tahunan",Laporan keuangan tahunan dan laporan keuangan tengah tahunan,"Laporan keuangan tahunan, laporan keuangan tengah tahunan, dan laporan keuangan triwulanan",C
25,Persyaratan Efek bersifat utang tanpa Penawaran Umum adalah ...,Efek bersifat utang tanpa Penawaran Umum hanya dapat dibeli Kembali dalam jangka waktu lebih dari 1 tahun,jumlah pemegang Efek bersifat utang tanpa Penawaran Umum minimal 50 pihak,wajib dicatatkan di Bursa Efek Indonesia,Efek bersifat utang tanpa Penawaran Umum dapat dibeli Kembali dalam jangka waktu kurang dari 1 tahun,A
26,"Penilaian kemampuan dan kepatutan dilakukan untuk menilai bahwa calon anggota Direksi Perusahaan Pemeringkat Efek memenuhi persyaratan sebagai berikut, kecuali",Kelayakan Keuangan,Integritas,Kompetensi,Reputasi Keuangan,A
27,Level Jabatan yang menetapkan perizinan izin perorangan di Kantor OJK Koordinator di Daerah adalah :,Kepala Departemen a.n. Dewan Komisioner OJK,Direktur a.n. Dewan Komisioner OJK,Dewan Komisioner OJK,Deputi Komisioner a.n. Dewan Komisioner OJK,B
28,"Pada Definisi Undang-undang Pasar Modal, dokumen yang wajib disampaikan kepada Badan Pengawas Pasar Modal (sekarang OJK) oleh Emiten dalam rangka Penawaran Umum atau Perusahaan Publik adalah ...",Iklan Rapat Umum Pemegang Saham,Keterbukaan Informasi,Bukti penunjukkan Lembaga dan profesi penunjang pasar modal,Pernyataan Pendaftaran,D
29,Salah satu perbedaan Reksa Dana Syariah dibandingkan dengan Reksa Dana Konvensional adalah Reksa Dana Syariah hanya dapat menginvestasikan dananya pada Efek,"Sukuk, ETF Syariah, Saham Syariah, Reksa Dana","Saham, Sukuk, Obligasi, ETF","Obligasi, SBSN, Saham Syariah, Deposito Konvensional","Saham Syariah, Sukuk, SBSN, Instrumen Pasar Uang Syariah",D
30,Perantara Pedagang Efek yang khusus didirikan untuk memasarkan Efek Reksa Dana wajib memenuhi:,"Modal disetor minimal 500 juta, minimal salah satu direksi memiliki izin WAPERD","Modal disetor minimal 500 juta, minimal dua direksi memiliki izin WMI","Modal disetor minimal 25 milyar, minimal salah satu direksi memiliki izin WAPERD","Modal disetor minimal 500 juta, minimal dua direksi memiliki izin WAPERD",A
31,"Penilai yang terdaftar di OJK dapat memberikan jasa penilaian kepada pihak yang melakukan kegiatan di bidang pasar modal, paling lama",5 tahun berturut-turut,3 tahun kumulatif,3 tahun berturut-turut,5 tahun kumulatif,C
32,"Yang berwenang untuk memberikan Perintah Tindakan Tertentu, Perintah Tertulis dan/ atau Sanksi Administratif bagi SJK PMDK yang berkantor pusat di daerah adalah",Kantor OJK Koordinator,Kantor OJK Koordinator dan Kantor OJK Non Koordinator,Kantor OJK Non Koordinator,Kantor Pusat OJK di Jakarta,A
33,Kapan permohonan perpanjangan izin diajukan kepada OJK?,Paling cepat 90 hari sebelum masa berlaku izin berakhir,Paling cepat 90 hari kerja sebelum masa berlaku izin berakhir,Paling cepat 90 hari kerja setelah masa berlaku izin berakhir,Paling cepat 90 hari setelah masa berlaku izin berakhir,A
34,"Manakah yang tidak termasuk fungsi, tugas, dan wewenang OJK dalam Pasal 1 UU No. 11 Tahun 2011 tentang Otoritas Jasa Keuangan",Pengaturan Sektor Jasa Keuangan,Penyidikan Sektor Jasa Keuangan,Pendirian Sektor Jasa Keuangan,Pemeriksaan Sektor Jasa Keuangan,C
35,Yang bukan termasuk dalam komponen penilaian Good Coporate Governance dalam Penilaian Risiko Komposit Perusahaan Efek adalah,Outcome,Structure,Process,Income,D
36,Reksa Dana Syariah berbeda dari reksa dana konvensional karena,Tidak dikelola manajer investasi,Tidak boleh investasi di obligasi,Return selalu lebih tinggi,Terdapat mekanisme pembersihan kekayaan reksa dana yang tidak dapat diakui sebagai NAB,D
37,Berikut adalah aplikasi yang terkoneksi dengan DWH – Pasar Modal,Aplikasi SIPENA,Aplikasi SLIK,Aplikasi SIPO,"Aplikasi SRO (KSEI, KPEI, BEI)",D
38,"Dalam menganalisis keterkaitan pihak yang diduga melakukan pelanggaran, Pengawas Transaksi Efek menganalisis aliran dana dengan meminta data mutasi dana rekening bank kepada",Badan Pemeriksa Keuangan,Kejaksaan Agung,Polri,Pengawas Bank OJK,D
39,Berikut ini merupakan jenis Reksa Dana kecuali,Reksa Dana Pendapatan Tetap,Reksa Dana Saham,Reksa Dana Campuran,Reksa Dana Pasar Modal,D
40,"Berikut merupakan proses internal yang dilakukan oleh Emiten dalam proses Pernyataan Pendaftaran, kecuali ...",Menunjuk lembaga dan profesi penunjang pasar modal,Meminta persetujuan dari Rapat Umum Pemegang Saham untuk menyetujui pelaksanaan Penawaran Umum.,Mempersiapkan dokumen Pernyataan Pendaftaran,Melakukan public expose,D
41,Berapakah batas minimal alokasi dana bersasarkan POJK 60 tahun 2017?,Minimimal 100% hasil penerbitan untuk pembiayaan KUBL dan KUBS,Minimimal 70% hasil penerbitan untuk pembiayaan KUBL,Minimimal 80% hasil penerbitan untuk pembiayaan KUBL,Minimimal 70% hasil penerbitan untuk pembiayaan KUBL dan KUBS,B
42,"Berikut ini merupakan kewajiban dari Agen Penjual Efek Reksa Dana, kecuali:",memiliki pejabat penanggung jawab penjualan Efek Reksa Dana,memastikan pelaksanaan kepatuhan fungsi-fungsi didasarkan pada prosedur operasi standar yang dibuat secara tertulis,memiliki tenaga pemasaran di setiap kantor dan/atau gerai yang melakukan penjualan Efek Reksa Dana,Membuat Prospektus Reksa Dana,D
43,Salah satu kegiatan yang dilakukan pada tahap pelaksanaan onsite pemeriksaan kepatuhan dan pemeriksaan teknis terhadap profesi penunjang pasar modal adalah,Penyampaian laporan hasil pemeriksaan,Risk profiling,Penerbitan Surat Tugas,Wawancara / permintaan keterangan,D
44,"Manakah yang tidak termasuk tujuan dari pembinaan, pengaturan, dan pengawasan Pasar Modal sesuai Pasal 4 UUPM",Mewujudkan kegiatan Pasar Modal yang wajar,Mewujudkan kegiatan Pasar Modal yang efisien,Mewujudkan kegiatan Pasar Modal yang efektif,Mewujudkan kegiatan Pasar Modal yang teratur,C
45,"Dalam ruang lingkup perdagangan saham di Pasar Reguler, Pengawasan Transaksi Efek juga dilakukan oleh lembaga lain selain OJK sesuai fungsi dan tugasnya, yaitu","BEI, Polri, PPATK, KSEI, KPEI","BEI, KSEI, KPEI","BEI, PPATK, KSEI, KPEI","BEI, Polri, PPATK, KPEI",B
46,Underlying asset investasi utama dari produk Dana Investasi Real Estat (DIRE) adalah:,"Aset Real Estat berupa tanah secara fisik dan bangunan di atasnya, seperti mall, perkantoran, dan rumah sakit","Aset Infrastruktur berupa fasilitas teknis, fisik, sistem, perangkat keras, dan perangkat lunak","Piutang Tagihan komersial, Future Cash Flow, Future Revenue, Aset keuangan setara dan aset keuangan lain.",Efek Bersifat Utang dan/atau Efek Syariah berpendapatan tetap,A
47,Berikut di bawah ini adalah jenis pasar perdana dalam perdagangan karbon yang hanya dapat digunakan oleh regulator/project developer di bursa karbon yaitu,Pasar Reguler,Pasar Lelang (Auction),Pasar Langsung (Direct),Pasar Negosiasi,B
48,"Berdasarkan UU Nomor 8 Tahun 1995 tentang Pasar Modal (UU PM) sebagaimana telah diubah dengan tentang UU Nomor 4 Tahun 2023 tentang Penguatan dan Pengembangan Pasar Modal (UU P2SK), Perusahaan Efek adalah pihak yang melakukan kegiatan sebagai berikut, kecuali",Penjamin Emisi Efek,Pemeringkat Efek,Manajer Investasi,Manajaer Investasi,B
49,"Pendelegasian wewenang perizinan Sektor Jasa Keuangan di Bidang Pengawasan Sektor Pasar Modal, Keuangan Derivatif, dan Bursa Karbon di Kantor OJK Daerah mulai efektif pelaksanaannya pada tahun :",2026,2024,2025,2023,C
50,Kegiatan jasa keuangan di sektor derivatif termasuk dalam,UU Fidusia,UU Perlindungan Konsumen,UU Nomor 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan,UU Perbankan,C
51,Penyusunan Dokumen Pendukung RIKSA merupakakan prosedur pemeriksaan kepatuhan pada tahap,Pelaksanaan,Penyelesaian,Persiapan,Pemantauan,C
52,"Berikut adalah komponen risiko kelembagaan dalam perhitungan RBS APUPPT, kecuali:",Produk,Struktur Kepemilikan Manajer Investasi,Dana kelolaan,Mekanisme Transaksi,A
53,Berikut yang merupakan faktor-faktor RBS Manajer Investasi adalah:,"Good Corporate Governance, Risiko inheren, penerapan APU-PPT, Rentabilitas","Rentabilitas, Penerapan APU-PPT, Good Corporate Governance, Permodalan","Risiko inheren, Good Corporate Governance, Rentabilitas, Permodalan","Risiko inheren, Rentabilitas, penerapan APU-PPT, Permodalan",C
54,Berikut yang merupakan laporan berkala Manajer Investasi yang dikirim secara bulanan adalah:,Laporan Modal Kerja Bersih Disesuaikan,"Laporan X.N.1 Reksa Dana, EBA, DIRE dan produk lainnya (KPD)",Laporan Keuangan Tahunan,Laporan Prospektus Reksa Dana,B
55,Pengurangan emisi gas rumah kaca yang dilakukan oleh usaha dan/atau kegiatan untuk mengkompensasi emisi yang dibuat di tempat lain juga dikenal dengan istilah,Sistem Registri Nasional Pengendalian Perubahan Iklim,Sumber Registri Nasional Pengendalian Perubahan Iklim,Sistem Rencana Nasional Pengendalian Perubahan Iklim,Sertifikasi Registri Nasional Pengendalian Perubahan Iklim,A
56,Standar waktu penyelesaian dalam proses tahapan pemeriksaan teknis dilaksanakan selama,75 hari kalender,60 hari kerja,60 hari kalender,75 hari kerja,D
57,Perbedaan proses Penawaran Umum yang menggunakan e-IPO dan Penawaran Umum yang tidak menggunakan e-IPO adalah ...,Penawaran Umum menggunakan e-IPO menyampaikan dokumen Pernyataan Pendaftaran melalui e-IPO sedangkan Penawaran Umum tidak menggunakan sistem e-IPO menyampaikan dokumen Pernyataan Pendaftaran melalui SPRINT,Masa Penawaran Umum perusahaan yang menggunakan e-IPO adalah 1-5 hari kerja sedangkan Masa Penawaran Umum perusahaan yang tidak menggunakan e-IPO adalah 3- 5 hari kerja,Penawaran Umum menggunakan e-IPO tidak diwajibkan menyampaikan laporan audit penjatahan kepada OJK sedangkan Penawaran Umum tidak menggunakan sistem e-IPO wajib menyampaikan laporan audit penjatahan kepada OJK,Penawaran Umum menggunakan e-IPO wajib menyampaikan laporan hasil Penawaran Umum kepada OJK sedangkan Penawaran Umum tidak menggunakan e-IPO tidak wajib menyampaikan laporan hasil Penawaran Umum kepada OJK,C
58,Kontrak opsi atas efek termasuk kategori,Efek bersifat utang,Produk derivatif keuangan,Saham preferen,Reksa dana indeks,B
59,Unit Karbon yang penerbitannya berasal dari seritifikat kuota emisi yang ditetapkan oleh Kementerian teknis adalah,Carbon Tax,PTBAE,SPE-GRK,PTBAE-PU,D
60,Sesuai UUP2SK dan POJK No.14 tahun 2023 Unit Karbon digolongkan sebagai,Efek,Gas Rumah Kaca,Emisi,Komoditas,A
61,Standar waktu penyelesaian dalam proses tahapan penelaahan dilaksanakan selama,75 hari kerja,60 hari kerja,90 hari kerja,120 hari kerja,D
62,"Berikut adalah fungsi-fungsi yang harus dipenuhi Manajer Investasi, kecuali:",Fungsi investasi dan riset,Fungsi penyelesaian transaksi Efek,Fungsi perdagangan,Fungsi penjaminan emisi,D
63,"Sesuai dengan POJK Nomor 41/POJK.04/2020 tentang Pelaksanaan Kegiatan Penawaran Umum Bersifat Ekuitas, Efek Bersifat Utang dan/atau Sukuk secara Elektronik (POJK 41/2020), Emiten wajib menggunakan system Penawaran Umum elektronik (e-IPO) kecuali bagi Emiten yang ...",menggunakan penjamin emisi Efek dalam Penawaran Umum,tidak menggunakan penjamin emisi Efek dalam Penawaran Umum,akan mencatatkan obligasinya di Bursa Efek Indonesia,akan mencatatkan sahamnya di Bursa Efek Indonesia,B
64,Pihak yang melakukan melakukan pengelolaan Reksa Dana adalah:,Agen Penjual Efek Reksa Dana,Bank Kustodian,Penasihat Investasi,Manajer Investasi,D
65,Apa nama sistem yang digunakan untuk melakukan perhitungan Risk Based Supervision (RBS) Manajer Investasi?,Sistem SIPEDULI,Sistem Informasi Pasar Modal (SIPM),Sistem Informasi Pungutan OJK,Sistem Perizinan Terintegras,B
66,"Berikut adalah aspek yang ditelaah dalam kegiatan pengawasan terhadap laporan profesi penunjang pasar modal, kecuali",Kewajaran laporan keuangan,Substansi pelaporan,Kelengkapan dokumen,Ketepatan waktu,A
67,Efek yang dapat diterbitkan melalui Layanan Urun Dana adalah,"EBE, MTN dan Sukuk","EBE, Reksadana, dan Sukuk","EBU, MTN, dan Sukuk","EBE, EBU dan Sukuk",D
68,"Berikut di bawah ini adalah jenis pasar/perdagangan karbon yang tersedia di bursa karbon, kecuali",Pasar Langsung (Direct),Pasar Lelang (Auction),Pasar Reguler,Pasar Negosiasi,A
69,"Manakah yang termasuk ruang lingkup pengawasan berdasarkan Pasal 26 angka (2) POJK 14 Tahun 2023, yaitu",Penyelenggara Bursa Karbon,Sumber dana proyek perdagangan karbon,Project Developer perdagangan karbon,Lembaga Verifikasi dan Validasi,A
70,Manfaat derivatif bagi investor antara lain,Perluasan Market Share,Likuiditas efek underlying meningkat,Potensi Keuntungan Saat Naik / turun,Mendorong pengembangan Produk lainnya,C
71,Pasar Modal Syariah adalah kegiatan pasar modal yang,Hanya untuk bank syariah,Menggunakan indeks global,Bebas pajak,Tidak bertentangan dengan prinsip syariah,D
72,Berikut pernyataan yang benar mengenai efektifnya Pernyataan Pendaftaran (PP) dalam rangka Penawaran Umum atau Perusahaan Publik ...,Pernyataan Pendaftaran (PP) menjadi efektif pada hari kerja ke-25 sejak diterimanya PP secara lengkap atau pada tanggal yang lebih awal jika dinyatakan efektif oleh OJK.,Pernyataan Pendaftaran (PP) menjadi efektif pada hari kerja ke-20 sejak diterimanya PP secara lengkap atau pada tanggal yang lebih awal jika dinyatakan efektif oleh OJK.,Pernyataan Pendaftaran (PP) menjadi efektif pada hari kerja ke-25 sejak diterimanya PP atau pada tanggal yang lebih awal jika dinyatakan efektif oleh OJK.,Pernyataan Pendaftaran (PP) menjadi efektif pada hari kerja ke-20 sejak diterimanya PP atau pada tanggal yang lebih awal jika dinyatakan efektif oleh OJK.,B
73,"Dalam ruang lingkup perdagangan saham di Pasar Reguler, Pengawasan Transaksi Efek juga dilakukan oleh lembaga lain selain OJK sesuai fungsi dan tugasnya, kecuali",BEI,KSEI,PPATK,KPEI,C
74,OJK dapat melakukan pembinaan dan pengawasan terhadap profesi penunjang sektor keuangan sepanjang,Profesi penunjang sektor keuangan menyatakan bersedia untuk menjalani pemeriksaan oleh OJK,"Berkoordinasi dengan kementerian, lembaga, atau otoritas pembina dan pengawas profesi penunjang sektor keuangan terkait",Profesi penunjang sektor keuangan telah menyampaikan pendaftaran ke OJK,"Telah melakukan perjanjian kerjasama dengan kementerian, lembaga, atau otoritas terkait",B
75,"Reksa Dana Campuran melakukan investasi dalam Efek bersifat Ekuitas, Efek bersifat utang, dan/atau instrumen Pasar Uang dalam negeri yang masing-masing paling banyak...",80% dari NAB,75% dari NAB,79% dari NAB,70% dari NAB,C
76,"Profesi yang dapat mengajukan permohonan pendaftaran kembali ketika masa berlaku STTD habis, kecuali",Konsultan Hukum,Penilai,Notaris,Akuntan Publik,D
77,"Berikut ini adalah kewajiban pelaporan Emiten dan Perusahaan Publik yang dilakukan secara berkala, kecuali",Laporan realisasi penggunaan dana hasil penawaran umum,Laporan atas permohonan kepailitan,Laporan tahunan,Laporan keuangan tahunan,B
78,Manakah di bawah ini yang bukan merupakan definisi orang dalam sebagaimana dimaksud dalam Pasal 95 Undang-Undang No. 8 tahun 1995 dan Pasal 97 UU No. 4 Tahun 2023 tentang Pengembangan dan Penguatan Sektor Keuangan,Pihak yang dalam waktu 6 (enam) bulan terakhir tidak lagi menjadi Direksi suatu Emiten,"Pihak yang memiliki hubungan kerja atau kemitraan dalam kegiatan usaha dengan Emiten, antara lain hubungan nasabah, pemasok, kontraktor, pelanggan, dan kreditur","Direksi, Komisaris, Pemegang Saham Utama Emiten",Orang perseorangan yang karena kedudukan atau profesinya atau karena hubungan usahanya dengan Emiten memungkinkan orang tersebut dapat berkomunikasi dengan Emiten,D
79,Tugas dan wewenang OJK dalam ekosistem Perdagangan Karbon di Indonesia adalah,Mengatur dan mengawasi penerbitan unit karbon dan pendaftaran pada sistem registrasi nasional,Mengatur dan mengawasi penetapan pengurangan emisi dan penerapan pajak karbon,Mengatur dan mengawasi penyelenggaraan perdagangan karbon secara menyeluruh,Mengatur dan mengawasi perdagangan unit karbon pada pasar sekunder yang ditransaksikan melalui Bursa Karbon,D
80,Yang termasuk jenis Efek adalah,gadai emas,saham dan waran,investasi surat tanah,polis asuransi,B
81,Salah satu aplikasi yang digunakan oleh Pengawas Transaksi Efek untuk melihat data pelaporan transaksi EBUS (Efek bersifat utang (obligasi) atau sukuk) adalah,tidak ada jawaban yang benar,Microsoft Power Point,Sipetro (Nasdaq),Penerima Laporan Transaki Efek (PLTE) Daily Watching,D
82,"Berikut merupakan fungsi pengembangan aplikasi di DAIM, kecuali",Identifikasi Kebutuhan Bisnis (Use Case Pengawasan dan Pengenaan Sanksi),Melakukan perancangan infrastruktur pengadaan Teknologi,Reengineering Business Process Analisis Solusi IT,Pemanfaatan SIPM Akselerasi Pengawasan,B
83,Sektor usaha yang tidak diwajibkan melakukan pengurangan emisi berdasarkan prioritas NDC Indonesia yaitu kecuali,Transportasi,Pengelolaan limbah,Perikanan,Keuangan,B
84,Masa Penawaran Umum bagi perusahaan yang menggunakan e-IPO adalah ...,1-5 hari kerja,1 hari kerja,2-5 hari kerja,3-5 hari kerja,D
85,"Berdasarkan POJK 30/2019 tentang Penerbitan EBUS TPU, Pemodal Profesional harus memenuhi dua kriteria, yaitu",Merupakan pihak yang memiliki STTD pasar modal dan kompetensi di bidang manajemen investasi,Memiliki pengetahuan pasar modal yang baik dan waktu yang memadai untuk menganalisis investasi,Memiliki ijin dari Kementerian Keuangan dan terdaftar di OJK,Kemampuan untuk membeli Efek dan melakukan analisis risiko terhadap investasi atas Efek,D
86,Kewenangan OJK dalam Ekosistem Perdagangan Karbon di Indonesia adalah,"Memberikan Izin Penyelenggara Bursa Karbon, dan mengawasi Pasar Sekunder perdagangan karbon",Mengawasi Pasar Sekunder perdagangan karbon,"Memeberikan Izin Project Developer, dan mengawasi lembaga validasi dan verifikasi",Memberikan Izin Project Developer dan mengawasi Pasar Primer perdagangan karbon,A
87,"Dalam siklus pengawasan PE berdasarkan RBS (Risk Based Supervision), tahap setelah Penilaian Peringkat Risiko Komposit adalah",Tindakan Pengawasan dan Monitoring,Pemeriksaan berdasarkan risiko,Perencanaan Pengawasan,Pemahaman PE,C
88,Indikator utama apa yang digunakan dalam pemantauan kondisi pasar modal?,Penurunan IHSG,Bid-ask spread,Average Daily Return Market Cap,Standar deviasi return harian IHSG,A
89,Berikut ini yang bukan merupakan output analisis data dan informasi di sektor PMDK yaitu:,Laporan Harian,Laporan Statistik,Stress Test PMDK,Laporan Bulanan,B
90,Indeks syariah yang diterbitkan oleh BEI dan Masyarakat Ekonomi Syariah (MES) adalah,IDX30,LQ45,IDX-MES BUMN 17,SRI-KEHATI,C
91,Perbedaan antara sukuk dengan obligasi adalah,"Jenis penghasilan sukuk adalah imbalan, bagi hasil, atau marjin, sedangkan obligasi adalah dividen","Jenis penghasilan sukuk adalah imbalan, bagi hasil, atau marjin, sedangkan obligasi adalah bunga","Jenis penghasilan sukuk adalah dividen, sedangkan obligasi adalah bunga","Jenis penghasilan sukuk adalah bunga, sedangkan obligasi adalah dividen",B
92,"Data pelaporan transaksi berikut dapat dilihat pada aplikasi Penerima Laporan Transaksi Efek (PLTE) Daily Watching, kecuali",EBUS (Efek bersifat utang (obligasi) atau sukuk),obligasi dan sukuk korporasi,Surat Berharga Negara (SBN),saham dan waran,D
93,"Perbedaan antara kepentingan ekonomis perusahaan terbuka dengan kepentingan ekonomis pribadi anggota Direksi, anggota Dewan Komisaris, pemegang saham utama, atau pengendali yang dapat merugikan perusahaan terbuka dimaksud adalah definisi dari",Transaksi Material,Penawaran Tender,Benturan Kepentingan,Transaksi Afiliasi,C
